"country.name","year","drought.occurrence","flood.occurrence","storm.occurrence","wildfire.occurrence","drought.total.deaths","flood.total.deaths","storm.total.deaths","wildfire.total.deaths","drought.total.affected","flood.total.affected","storm.total.affected","wildfire.total.affected","drought.total.damage","flood.total.damage","storm.total.damage","wildfire.total.damage"
"Belgium",1967,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"Belgium",1971,NA,1,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,NA,NA
"Belgium",1972,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",1976,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",1982,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",1984,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",1985,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",1987,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",1990,NA,NA,6,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,980000,NA
"Belgium",1993,NA,2,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,17000,NA,NA
"Belgium",1994,NA,1,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA
"Belgium",1995,NA,NA,1,NA,NA,NA,6,NA,NA,NA,800,NA,NA,NA,100000,NA
"Belgium",1998,NA,1,1,NA,NA,1,NA,NA,NA,140,NA,NA,NA,10000,500,NA
"Belgium",1999,NA,NA,2,NA,NA,NA,2,NA,NA,NA,905,NA,NA,NA,50486,NA
"Belgium",2002,NA,4,1,NA,NA,2,5,NA,NA,2400,NA,NA,NA,NA,5000,NA
"Belgium",2003,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",2005,NA,1,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,NA
"Belgium",2007,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,450000,NA
"Belgium",2008,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",2010,NA,1,2,NA,NA,3,1,NA,NA,690,NA,NA,NA,238146,160000,NA
"Belgium",2011,NA,1,1,NA,NA,NA,5,NA,NA,NA,71,NA,NA,NA,99000,NA
"Belgium",2013,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",2014,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",2016,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",2018,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina",1999,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1090,NA,NA,NA,NA,NA
"Bosnia and Herzegovina",2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158000,NA,NA,NA
"Bosnia and Herzegovina",2001,NA,1,NA,NA,NA,NA,NA,NA,NA,9000,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina",2003,1,NA,NA,NA,NA,NA,NA,NA,62575,NA,NA,NA,140000,NA,NA,NA
"Bosnia and Herzegovina",2004,NA,2,NA,NA,NA,NA,NA,NA,NA,278000,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina",2005,NA,1,1,NA,NA,NA,4,NA,NA,3100,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina",2009,NA,2,NA,NA,NA,NA,NA,NA,NA,3730,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina",2010,NA,2,NA,NA,NA,3,NA,NA,NA,34910,NA,NA,NA,87000,NA,NA
"Bosnia and Herzegovina",2014,NA,4,NA,NA,NA,26,NA,NA,NA,1000600,NA,NA,NA,436580,NA,NA
"Bosnia and Herzegovina",2015,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",1981,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",1983,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",1993,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA
"Bulgaria",1997,NA,1,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA
"Bulgaria",1999,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,850,NA,NA,NA,NA,NA
"Bulgaria",2000,1,NA,NA,1,NA,NA,NA,7,NA,NA,NA,167,NA,NA,NA,17600
"Bulgaria",2001,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",2002,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA
"Bulgaria",2005,NA,5,1,NA,NA,39,NA,NA,NA,12200,NA,NA,NA,457000,NA,NA
"Bulgaria",2006,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",2007,NA,3,NA,2,NA,12,NA,3,NA,1070,NA,9,NA,NA,NA,2454
"Bulgaria",2010,NA,1,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA
"Bulgaria",2012,NA,1,NA,NA,NA,5,NA,NA,NA,37950,NA,NA,NA,4400,NA,NA
"Bulgaria",2014,NA,4,1,NA,NA,20,1,NA,NA,8507,40,NA,NA,387000,545000,NA
"Bulgaria",2015,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5800,NA,NA
"Bulgaria",2018,NA,1,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,NA,NA
"Canary Is",1957,NA,NA,1,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canary Is",1999,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415000,NA
"Canary Is",2001,NA,1,NA,NA,NA,7,NA,NA,NA,300,NA,NA,NA,NA,NA,NA
"Canary Is",2002,NA,1,NA,NA,NA,16,NA,NA,NA,430,NA,NA,NA,79923,NA,NA
"Canary Is",2005,NA,NA,1,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,375000,NA
"Canary Is",2007,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,405,NA,NA,NA,NA
"Croatia",1997,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croatia",2000,NA,1,NA,1,NA,NA,NA,1,NA,600,NA,NA,NA,NA,NA,17750
"Croatia",2001,NA,1,NA,NA,NA,NA,NA,NA,NA,1200,NA,NA,NA,NA,NA,NA
"Croatia",2003,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,330000,NA,NA,20000
"Croatia",2005,NA,1,1,NA,NA,NA,2,NA,NA,250,NA,NA,NA,NA,NA,NA
"Croatia",2006,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croatia",2007,NA,NA,NA,2,NA,NA,NA,12,NA,NA,NA,26,NA,NA,NA,NA
"Croatia",2010,NA,2,NA,NA,NA,NA,NA,NA,NA,1110,NA,NA,NA,80000,NA,NA
"Croatia",2012,NA,1,NA,NA,NA,NA,NA,NA,NA,1500,NA,NA,NA,NA,NA,NA
"Croatia",2014,NA,2,NA,NA,NA,3,NA,NA,NA,9116,NA,NA,NA,NA,NA,NA
"Croatia",2015,NA,1,NA,NA,NA,NA,NA,NA,NA,1200,NA,NA,NA,NA,NA,NA
"Croatia",2017,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3500,80,NA,NA,161000,NA
"Croatia",2018,NA,1,NA,NA,NA,NA,NA,NA,NA,471,NA,NA,NA,NA,NA,NA
"Czech Republic",1996,NA,1,NA,NA,NA,1,NA,NA,NA,60,NA,NA,NA,36000,NA,NA
"Czech Republic",1997,NA,1,NA,NA,NA,29,NA,NA,NA,102107,NA,NA,NA,1850000,NA,NA
"Czech Republic",1998,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,52000,NA,NA
"Czech Republic",2000,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80000,NA,NA
"Czech Republic",2002,NA,1,2,NA,NA,18,2,NA,NA,200000,NA,NA,NA,2400000,20000,NA
"Czech Republic",2005,NA,1,1,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"Czech Republic",2006,NA,2,NA,NA,NA,6,NA,NA,NA,4315,NA,NA,NA,NA,NA,NA
"Czech Republic",2007,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,150000,NA
"Czech Republic",2008,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,50000,NA
"Czech Republic",2009,NA,1,1,NA,NA,13,2,NA,NA,14450,12,NA,NA,150000,NA,NA
"Czech Republic",2010,NA,3,NA,NA,NA,11,NA,NA,NA,1400,NA,NA,NA,347560,NA,NA
"Czech Republic",2013,NA,1,NA,NA,NA,15,NA,NA,NA,1300000,NA,NA,NA,828552,NA,NA
"Czech Republic",2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2900,NA
"Denmark",1976,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denmark",1980,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denmark",1981,NA,NA,1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,250000,NA
"Denmark",1983,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denmark",1985,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denmark",1990,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,190000,NA
"Denmark",1992,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751700,NA,NA,NA
"Denmark",1999,NA,NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,2604939,NA
"Denmark",2002,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denmark",2005,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1300000,NA
"Denmark",2007,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100000,NA
"Denmark",2010,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denmark",2013,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia",2005,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,130000,NA
"Finland",1990,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,NA
"Finland",2005,NA,1,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA
"France",1949,NA,NA,NA,1,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA
"France",1958,NA,1,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"France",1967,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,20000,NA
"France",1969,NA,NA,1,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"France",1976,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"France",1977,NA,1,NA,NA,NA,26,NA,NA,NA,25000,NA,NA,NA,NA,NA,NA
"France",1978,NA,1,NA,NA,NA,3,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA
"France",1980,NA,1,NA,NA,NA,6,NA,NA,NA,313,NA,NA,NA,NA,NA,NA
"France",1981,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"France",1982,1,NA,2,1,NA,NA,12,2,NA,NA,NA,18,NA,NA,350000,NA
"France",1983,NA,3,2,1,NA,18,11,12,NA,3712,NA,NA,NA,609500,NA,NA
"France",1984,NA,NA,3,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"France",1985,NA,NA,1,1,NA,NA,NA,6,NA,NA,NA,130,NA,NA,NA,NA
"France",1986,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,2000,NA,NA,NA,NA
"France",1987,NA,1,1,NA,NA,23,4,NA,NA,NA,NA,NA,NA,NA,1700000,NA
"France",1988,NA,1,NA,NA,NA,10,NA,NA,NA,300,NA,NA,NA,500000,NA,NA
"France",1989,1,NA,1,NA,NA,NA,9,NA,NA,NA,NA,NA,1600000,NA,NA,NA
"France",1990,NA,NA,8,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,1910000,NA
"France",1991,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"France",1992,NA,1,2,NA,NA,3,48,NA,NA,NA,2000,NA,NA,NA,400000,NA
"France",1993,NA,1,2,NA,NA,4,12,NA,NA,NA,1720,NA,NA,600000,550000,NA
"France",1994,NA,3,NA,NA,NA,13,NA,NA,NA,410,NA,NA,NA,100000,NA,NA
"France",1995,NA,NA,1,NA,NA,NA,16,NA,NA,NA,5000,NA,NA,NA,700000,NA
"France",1996,NA,2,1,NA,NA,4,1,NA,NA,1380,NA,NA,NA,6000,10,NA
"France",1997,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1259,10000,NA,NA,NA
"France",1998,NA,NA,1,NA,NA,NA,6,NA,NA,NA,690,NA,NA,NA,150000,NA
"France",1999,NA,3,3,1,NA,36,99,NA,NA,4105,3500031,6,NA,500000,12000000,NA
"France",2000,NA,6,1,NA,NA,5,6,NA,NA,2312,207,NA,NA,NA,NA,NA
"France",2001,NA,5,2,NA,NA,3,14,NA,NA,16882,420,NA,NA,132350,NA,NA
"France",2002,NA,3,2,NA,NA,23,5,NA,NA,3480,253,NA,NA,1190000,1000,NA
"France",2003,NA,2,2,1,NA,10,6,5,NA,27000,70,3004,NA,1500000,50,NA
"France",2004,NA,NA,1,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"France",2005,NA,2,NA,1,NA,3,NA,2,NA,4000,NA,NA,NA,NA,NA,10000
"France",2006,NA,NA,2,NA,NA,NA,5,NA,NA,NA,602,NA,NA,NA,NA,NA
"France",2007,NA,NA,3,NA,NA,NA,5,NA,NA,NA,900,NA,NA,NA,250000,NA
"France",2008,NA,NA,3,NA,NA,NA,5,NA,NA,NA,2706,NA,NA,NA,80000,NA
"France",2009,NA,NA,1,1,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,3200000,NA
"France",2010,NA,1,2,NA,NA,25,53,NA,NA,NA,500079,NA,NA,1500000,4230000,NA
"France",2011,NA,1,1,NA,NA,6,NA,NA,NA,2300,NA,NA,NA,NA,NA,NA
"France",2013,NA,1,2,NA,NA,2,2,NA,NA,2000,NA,NA,NA,655000,NA,NA
"France",2014,NA,3,4,NA,NA,14,8,NA,NA,4000,NA,NA,NA,303000,182000,NA
"France",2015,NA,1,1,NA,NA,20,3,NA,NA,NA,750,NA,NA,924000,NA,NA
"France",2016,NA,1,NA,NA,NA,5,NA,NA,NA,24,NA,NA,NA,2400000,NA,NA
"France",2017,NA,1,1,1,NA,1,2,NA,NA,160,11,12012,NA,NA,100000,NA
"France",2018,NA,2,3,NA,NA,14,6,NA,NA,4226,30,NA,NA,712000,200000,NA
"Germany",1920,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,NA,NA
"Germany",1925,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19000,NA,NA
"Germany",1926,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31000,NA,NA
"Germany",1929,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55000,NA
"Germany",1953,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA
"Germany",1962,NA,NA,1,NA,NA,NA,347,NA,NA,NA,NA,NA,NA,NA,600000,NA
"Germany",1968,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,31000,NA
"Germany",1972,NA,NA,1,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,420000,NA
"Germany",1974,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22000,NA
"Germany",1976,NA,NA,1,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,1300000,NA
"Germany",1978,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,330000,NA,NA
"Germany",1983,NA,1,NA,1,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA
"Germany",1984,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany",1985,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany",1988,NA,1,NA,NA,NA,6,NA,NA,NA,3500,NA,NA,NA,NA,NA,NA
"Germany",1990,NA,NA,6,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,4440000,NA
"Germany",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany",1992,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30100,NA,NA
"Germany",1993,NA,1,2,NA,NA,5,6,NA,NA,100000,NA,NA,NA,600000,410000,NA
"Germany",1994,NA,2,2,NA,NA,2,11,NA,NA,NA,NA,NA,NA,393500,1045200,NA
"Germany",1995,NA,NA,2,NA,NA,NA,5,NA,NA,NA,30000,NA,NA,NA,529600,NA
"Germany",1996,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA
"Germany",1997,NA,1,NA,NA,NA,NA,NA,NA,NA,5200,NA,NA,NA,360000,NA,NA
"Germany",1998,NA,NA,1,NA,NA,NA,3,NA,NA,NA,15,NA,NA,NA,150000,NA
"Germany",1999,NA,1,2,NA,NA,7,18,NA,NA,100000,NA,NA,NA,430000,1750000,NA
"Germany",2001,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,300000,NA
"Germany",2002,NA,1,3,NA,NA,27,22,NA,NA,330108,19,NA,NA,11600000,2050000,NA
"Germany",2003,NA,NA,2,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,300000,NA
"Germany",2004,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,130000,NA
"Germany",2005,NA,2,1,NA,NA,1,2,NA,NA,450,2,NA,NA,220000,270000,NA
"Germany",2006,NA,1,3,NA,NA,NA,11,NA,NA,1000,300,NA,NA,NA,NA,NA
"Germany",2007,NA,1,2,NA,NA,1,18,NA,NA,NA,130,NA,NA,NA,5500000,NA
"Germany",2008,NA,NA,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2700000,NA
"Germany",2009,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,20000,50000,NA
"Germany",2010,NA,1,2,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,1000000,NA
"Germany",2011,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany",2013,NA,1,3,NA,NA,4,7,NA,NA,6350,2,NA,NA,12900000,4800000,NA
"Germany",2014,NA,NA,2,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,400000,NA
"Germany",2016,NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,2000000,NA,NA
"Germany",2017,NA,1,2,NA,NA,NA,5,NA,NA,600,24,NA,NA,NA,899000,NA
"Germany",2018,NA,NA,1,NA,NA,NA,5,NA,NA,NA,12,NA,NA,NA,588475,NA
"Germany",2019,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greece",1930,NA,NA,1,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greece",1961,NA,NA,1,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greece",1977,NA,1,NA,NA,NA,27,NA,NA,NA,1600,NA,NA,NA,28000,NA,NA
"Greece",1979,NA,1,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greece",1983,NA,NA,NA,1,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
"Greece",1984,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA
"Greece",1985,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"Greece",1987,NA,NA,1,1,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,350000,NA
"Greece",1990,1,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1000000,NA,NA,NA
"Greece",1994,NA,1,NA,NA,NA,14,NA,NA,NA,1000,NA,NA,NA,437700,NA,NA
